year,petrol,diesel,HEV,BEV,PHEV,AV
2025,12034486,6863286,2080591,2186452,1616712,0
2026,11197811,5918387,2188510,2931765,1753769,2423
2027,10208724,4976292,2286783,3755949,1885637,10091
2028,9107688,4082280,2373801,4651603,2010015,22546
2029,7911126,3270404,2439228,5611089,2124577,44402
2030,6747271,2577632,2394022,6950567,2130324,77371
2031,5659819,2005307,2319592,8240856,2109501,115827
2032,4673188,1547355,2216658,9444346,2058931,170899
2033,3788234,1183245,2080221,10557955,1967474,248064
2034,3008598,893643,1929145,11557404,1850033,353523
2035,2335162,662491,1771346,12600013,1716976,494366
2036,1763776,477920,1534336,13499255,1497025,678106
2037,1296754,333078,1310740,14250813,1284879,911520
2038,925256,224837,1109774,14789140,1092074,1198412
2039,638377,148567,930860,15191541,918765,1543236
2040,425575,94507,772294,15421537,764752,1944182
2041,283227,61455,632691,15482242,628895,2396636
2042,184474,40079,510390,15393322,510390,2893011
2043,117353,25534,402012,15185031,402012,3423331
2044,72195,15743,307759,14884477,307759,3976083
2045,42116,9218,227345,14516064,227345,4539455
2046,22547,4966,160472,14099353,160472,5101919
2047,10295,2297,111557,13649962,111557,5652743
2048,3318,767,75928,13191603,75928,6182481
2049,195,68,50313,12739453,50313,6683350
2050,0,0,32391,12306311,32391,7149358
