year,petrol,diesel,HEV,BEV,PHEV,AV
2025,12034486,6863286,2080591,2186452,1616712,0
2026,11197811,5918387,2188510,2930554,1753769,3634
2027,10208724,4976292,2286783,3752864,1885637,13176
2028,9107688,4082280,2373801,4642266,2010015,31882
2029,7911126,3270404,2439228,5590981,2124577,64510
2030,6747271,2577632,2394022,6913972,2130324,113967
2031,5659819,2005307,2319592,8185010,2109501,171674
2032,4673188,1547355,2216658,9360947,2058931,254298
2033,3788234,1183245,2080221,10435927,1967474,370093
2034,3008598,893643,1929145,11382644,1850033,528283
2035,2335162,662491,1771346,12354679,1716976,739700
2036,1763776,477920,1534336,13161891,1497025,1015469
2037,1296754,333078,1310740,13796517,1284879,1365816
2038,925256,224837,1109774,14191114,1092074,1796438
2039,638377,148567,930860,14420804,918765,2313974
2040,425575,94507,772294,14450089,764752,2915630
2041,283227,61455,632691,14284373,628895,3594506
2042,184474,40079,510390,13947127,510390,4339206
2043,117353,25534,402012,13473582,402012,5134780
2044,72195,15743,307759,12896585,307759,5963974
2045,42116,9218,227345,12246444,227345,6809075
2046,22547,4966,160472,11548472,160472,7652800
2047,10295,2297,111557,10823650,111557,8479055
2048,3318,767,75928,10100370,75928,9273715
2049,195,68,50313,9397783,50313,10025019
2050,0,0,32391,8731632,32391,10724037
