year,petrol,diesel,HEV,BEV,PHEV,AV
2025,12034486,6863286,2080591,2186452,1616712,0
2026,11197811,5918387,2188510,2934188,1753769,0
2027,10208724,4976292,2286783,3766040,1885637,0
2028,9107688,4082280,2373801,4674149,2010015,0
2029,7911126,3270404,2439228,5655491,2124577,0
2030,6747271,2577632,2394022,7027938,2130324,0
2031,5659819,2005307,2319592,8351450,2109501,5233
2032,4673188,1547355,2216658,9597484,2058931,17761
2033,3788234,1183245,2080221,10765664,1967474,40356
2034,3008598,893643,1929145,11834000,1850033,76927
2035,2335162,662491,1771346,12961676,1716976,132702
2036,1763776,477920,1534336,13962738,1497025,214623
2037,1296754,333078,1310740,14830710,1284879,331623
2038,925256,224837,1109774,15492618,1092074,494934
2039,638377,148567,930860,16016791,918765,717987
2040,425575,94507,772294,16349812,764752,1015907
2041,283227,61455,632691,16474476,628895,1404402
2042,184474,40079,510390,16388461,510390,1897872
2043,117353,25534,402012,16101261,402012,2507102
2044,72195,15743,307759,15623482,307759,3237077
2045,42116,9218,227345,14970165,227345,4085353
2046,22547,4966,160472,14159491,160472,5041780
2047,10295,2297,111557,13213151,111557,6089554
2048,3318,767,75928,12166955,75928,7207129
2049,195,68,50313,11052425,50313,8370377
2050,0,0,32391,9901213,32391,9554456
